item,designacion,cantidad,modulo,tipo,material_o_norma,plano,tolerancia_general,ajustes,soldadura,encajes,acabado
136,"Golilla M12 cilindro (X=204.5, Y=+90) Ø12",1,FIJO,COMPRADA,"ISO 7092 (DIN 433) — arandela plana, serie estrecha",—,"dureza 200 HV; Ø exterior modelado 20 mm","—","—","—","zincado ISO 4042"
137,"Golilla M12 cilindro (X=204.5, Y=−90) Ø12",1,FIJO,COMPRADA,"ISO 7092 (DIN 433) — arandela plana, serie estrecha",—,"dureza 200 HV; Ø exterior modelado 20 mm","—","—","—","zincado ISO 4042"
138,"Golilla M12 cilindro (X=258.5, Y=+90) Ø12",1,FIJO,COMPRADA,"ISO 7092 (DIN 433) — arandela plana, serie estrecha",—,"dureza 200 HV; Ø exterior modelado 20 mm","—","—","—","zincado ISO 4042"
139,"Golilla M12 cilindro (X=258.5, Y=−90) Ø12",1,FIJO,COMPRADA,"ISO 7092 (DIN 433) — arandela plana, serie estrecha",—,"dureza 200 HV; Ø exterior modelado 20 mm","—","—","—","zincado ISO 4042"
140,"Golilla Ménsula jack inf -Y X115.75 Z100 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
141,"Golilla Ménsula jack inf -Y X115.75 Z100 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
142,"Golilla Ménsula jack inf -Y X115.75 Z118 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
143,"Golilla Ménsula jack inf -Y X115.75 Z118 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
144,"Golilla Ménsula jack inf -Y X347.25 Z100 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
145,"Golilla Ménsula jack inf -Y X347.25 Z100 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
146,"Golilla Ménsula jack inf -Y X347.25 Z118 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
147,"Golilla Ménsula jack inf -Y X347.25 Z118 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
148,"Golilla Ménsula jack inf +Y X115.75 Z100 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
149,"Golilla Ménsula jack inf +Y X115.75 Z100 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
150,"Golilla Ménsula jack inf +Y X115.75 Z118 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
151,"Golilla Ménsula jack inf +Y X115.75 Z118 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
152,"Golilla Ménsula jack inf +Y X347.25 Z100 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
153,"Golilla Ménsula jack inf +Y X347.25 Z100 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
154,"Golilla Ménsula jack inf +Y X347.25 Z118 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
155,"Golilla Ménsula jack inf +Y X347.25 Z118 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
156,"Golilla Ménsula jack sup -Y X145.75 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
157,"Golilla Ménsula jack sup -Y X145.75 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
158,"Golilla Ménsula jack sup -Y X317.25 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
159,"Golilla Ménsula jack sup -Y X317.25 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
160,"Golilla Ménsula jack sup -Y X377.25 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
161,"Golilla Ménsula jack sup -Y X377.25 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
162,"Golilla Ménsula jack sup -Y X85.75 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
163,"Golilla Ménsula jack sup -Y X85.75 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
164,"Golilla Ménsula jack sup +Y X145.75 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
165,"Golilla Ménsula jack sup +Y X145.75 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
166,"Golilla Ménsula jack sup +Y X317.25 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
167,"Golilla Ménsula jack sup +Y X317.25 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
168,"Golilla Ménsula jack sup +Y X377.25 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
169,"Golilla Ménsula jack sup +Y X377.25 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
170,"Golilla Ménsula jack sup +Y X85.75 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
171,"Golilla Ménsula jack sup +Y X85.75 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
172,"Golilla rodillo (línea 1, Y=-190.5, libre) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
173,"Golilla rodillo (línea 1, Y=-190.5, motriz) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
174,"Golilla rodillo (línea 2, Y=-114.3, libre) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
175,"Golilla rodillo (línea 2, Y=-114.3, motriz) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
176,"Golilla rodillo (línea 3, Y=-38.1, libre) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
177,"Golilla rodillo (línea 3, Y=-38.1, motriz) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
178,"Golilla rodillo (línea 4, Y=38.1, libre) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
179,"Golilla rodillo (línea 4, Y=38.1, motriz) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
180,"Golilla rodillo (línea 5, Y=114.3, libre) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
181,"Golilla rodillo (línea 5, Y=114.3, motriz) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
182,"Golilla rodillo (línea 6, Y=190.5, libre) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
183,"Golilla rodillo (línea 6, Y=190.5, motriz) Ø6.35",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
184,"Golilla rodillo de retorno (+Y) Ø6.35",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
185,"Golilla rodillo de retorno (−Y) Ø6.35",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
186,"Golilla Side channel -Y X231.5 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
187,"Golilla Side channel -Y X231.5 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
188,"Golilla Side channel -Y X403 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
189,"Golilla Side channel -Y X403 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
190,"Golilla Side channel -Y X60 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
191,"Golilla Side channel -Y X60 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
192,"Golilla Side channel +Y X231.5 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
193,"Golilla Side channel +Y X231.5 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
194,"Golilla Side channel +Y X403 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
195,"Golilla Side channel +Y X403 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
196,"Golilla Side channel +Y X60 (cabeza) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
197,"Golilla Side channel +Y X60 (tuerca) Ø9.525",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
198,"Golilla Spacer plate libre Y-170 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
199,"Golilla Spacer plate libre Y-170 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
200,"Golilla Spacer plate libre Y-55 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
201,"Golilla Spacer plate libre Y-55 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
202,"Golilla Spacer plate libre Y170 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
203,"Golilla Spacer plate libre Y170 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
204,"Golilla Spacer plate libre Y55 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
205,"Golilla Spacer plate libre Y55 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
206,"Golilla Spacer plate motriz Y-170 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
207,"Golilla Spacer plate motriz Y-170 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
208,"Golilla Spacer plate motriz Y-55 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
209,"Golilla Spacer plate motriz Y-55 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
210,"Golilla Spacer plate motriz Y170 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
211,"Golilla Spacer plate motriz Y170 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
212,"Golilla Spacer plate motriz Y55 (cabeza) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
213,"Golilla Spacer plate motriz Y55 (tuerca) Ø9.525",1,MÓVIL,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
214,"Motorreductor SEW RF07DRS71S4 — 1/2 hp, 230/460/3, 462 rpm",1,MÓVIL,COMPRADA,"SEW-EURODRIVE RF07 DRS71S4 — motorreductor de ejes paralelos con brida · Hytrol 300.0322",—,"1/2 hp, 230/460 V 3~, 462 rpm de salida; brida IEC 60072 B14 C120 (Ø120, círculo Ø100, 4 × M8)","—","—","—","—"
215,"NEUMÁTICA · Cilindro compacto con guías SMC MGPM80-10Z Ø80 × 10 — cuerpo 202×91.5×56.5",1,FIJO,COMPRADA,"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
216,"NEUMÁTICA · Golilla 1/4"" válvula↔soporte (X=303) Ø6.35",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27) — AVISO: el modelo dibuja Ø16, 1.73 mm fuera de tabla",—,"acero al carbono","—","—","—","zincado ASTM F1941"
217,"NEUMÁTICA · Golilla 1/4"" válvula↔soporte (X=335) Ø6.35",1,FIJO,COMPRADA,"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27) — AVISO: el modelo dibuja Ø16, 1.73 mm fuera de tabla",—,"acero al carbono","—","—","—","zincado ASTM F1941"
218,"NEUMÁTICA · Perno hex 1/4-20 × 2-1/2"" válvula↔soporte",2,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
219,"NEUMÁTICA · Racor codo giratorio 360° 1/4""",2,FIJO,COMPRADA,"Racor codo giratorio 360°, macho 1/4-18 NPT (ASME B1.20.1) — tubo 1/4"" OD · Hytrol 094.1406",—,"cuerpo de latón niquelado, pinza de acero inoxidable","—","—","—","—"
220,"NEUMÁTICA · Racor codo giratorio 360° Rc3/8–1/4""",2,FIJO,COMPRADA,"Racor codo giratorio 360°, macho Rc 3/8 (ISO 7-1) — tubo 1/4"" OD · Hytrol 094.1406",—,"cuerpo de latón niquelado, pinza de acero inoxidable","—","—","—","—"
221,"NEUMÁTICA · Silenciador 1/8"" NPT Ø18 (X=307)",1,FIJO,COMPRADA,"Silenciador de bronce sinterizado, rosca 1/8-27 NPT (ASME B1.20.1) · Hytrol 923.0059",—,"caudal libre ≥ 200 Nl/min","—","—","—","—"
222,"NEUMÁTICA · Silenciador 1/8"" NPT Ø18 (X=331)",1,FIJO,COMPRADA,"Silenciador de bronce sinterizado, rosca 1/8-27 NPT (ASME B1.20.1) · Hytrol 923.0059",—,"caudal libre ≥ 200 Nl/min","—","—","—","—"
223,"NEUMÁTICA · Tubería 1/4"" OD Ø7.94 — línea A",1,FIJO,COMPRADA,"Tubo de poliuretano 1/4"" OD × 0,160"" ID (6,35 × 4,06 mm) · Hytrol 094.1148",—,"PU 95 Sh A, presión de trabajo ≥ 10 bar a 20 °C","—","—","—","—"
224,"NEUMÁTICA · Tubería 1/4"" OD Ø7.94 — línea B",1,FIJO,COMPRADA,"Tubo de poliuretano 1/4"" OD × 0,160"" ID (6,35 × 4,06 mm) · Hytrol 094.1148",—,"PU 95 Sh A, presión de trabajo ≥ 10 bar a 20 °C","—","—","—","—"
225,"NEUMÁTICA · Válvula 4 vías monosolenoide 24 VDC 72×46×60",1,FIJO,COMPRADA,"Válvula 5/2 monoestable 24 V CC · Hytrol 094.10795",—,"equivalente comprable citado: SMC SY5120-5DZ-N7T (2 posiciones monosolenoide, 24 V CC, racor instantáneo 1/4"", rosca NPTF, conexión DIN, 0,1 W)","—","—","—","—"
226,"Pasador de retención Ø12.7 × 39.91 en colisa",4,MÓVIL,COMPRADA,"ASME B18.3 — tornillo de hombro, hombro Ø1/2"" × 25, rosca 3/8-16 UNC · Hytrol 042.512",—,"acero aleado templado 45 HRC mínimo, hombro rectificado h9","—","—","—","pavonado"
227,"Perno hex 1/4-20 × 1-1/4"" soporte de válvula",2,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
228,"Perno hex 1/4-20 UNC × 19.05 · rodillo",6,MÓVIL,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
229,"Perno hex 1/4-20 UNC × 19.05 · rodillo",6,MÓVIL,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
230,"Perno hex 1/4-20 UNC × 19.05 · rodillo de retorno",1,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
231,"Perno hex 1/4-20 UNC × 19.05 · rodillo de retorno",1,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
232,"Perno hex 1/4-20 UNC × 3/4"" anclaje de la horquilla al cassette",2,MÓVIL,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
233,"Perno hex 1/4-20 UNC × 3/4"" anclaje de la horquilla al cassette",2,MÓVIL,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
234,"Perno hex 3/8-16 × 1"" de colisa",2,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
235,"Perno hex 3/8-16 × 1"" de colisa",2,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
236,"Perno hex 3/8-16 × 20.85 · Canal base -Y X32",1,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
237,"Perno hex 3/8-16 × 20.85 · Canal base -Y X95",1,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
238,"Perno hex 3/8-16 × 20.85 · Canal base +Y X32",1,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
239,"Perno hex 3/8-16 × 20.85 · Canal base +Y X95",1,FIJO,COMPRADA,"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
